"","CDW_CD","RPRSNTV_SEXDSTN","AGE_FACTOR","ORG_FORM_CD","N.Masked","Type1","Type2"
"1",11010,1,"[0,30)",1,1652,0,0
"2",11010,1,"[0,30)",2,815,0,0
"3",11010,1,"[0,30)",3,1795,0,0
"4",11010,1,"[0,30)",4,4528,0,0
"5",11010,1,"[0,30)",5,6379,0,0
"6",11010,1,"[30,40)",1,2575,0,0
"7",11010,1,"[30,40)",2,1241,0,0
"8",11010,1,"[30,40)",3,2830,0,0
"9",11010,1,"[30,40)",4,7073,0,0
"10",11010,1,"[30,40)",5,9647,0,0
"11",11010,1,"[40,50)",1,2009,0,0
"12",11010,1,"[40,50)",2,883,0,0
"13",11010,1,"[40,50)",3,2165,0,0
"14",11010,1,"[40,50)",4,5447,0,0
"15",11010,1,"[40,50)",5,7426,0,0
"16",11010,1,"[50,60)",1,1266,0,1
"17",11010,1,"[50,60)",2,565,0,0
"18",11010,1,"[50,60)",3,1412,0,0
"19",11010,1,"[50,60)",4,3640,0,0
"20",11010,1,"[50,60)",5,4890,0,0
"21",11010,1,"[60,83]",1,5163,0,0
"22",11010,1,"[60,83]",2,2435,0,0
"23",11010,1,"[60,83]",3,5890,0,0
"24",11010,1,"[60,83]",4,14301,0,0
"25",11010,1,"[60,83]",5,19739,0,0
"26",11010,2,"[0,30)",1,583,0,0
"27",11010,2,"[0,30)",2,263,0,0
"28",11010,2,"[0,30)",3,610,0,0
"29",11010,2,"[0,30)",4,1595,0,0
"30",11010,2,"[0,30)",5,2141,0,0
"31",11010,2,"[30,40)",1,915,0,1
"32",11010,2,"[30,40)",2,411,0,0
"33",11010,2,"[30,40)",3,1014,0,0
"34",11010,2,"[30,40)",4,2432,0,0
"35",11010,2,"[30,40)",5,3315,0,0
"36",11010,2,"[40,50)",1,640,0,0
"37",11010,2,"[40,50)",2,308,0,0
"38",11010,2,"[40,50)",3,755,0,0
"39",11010,2,"[40,50)",4,1878,0,0
"40",11010,2,"[40,50)",5,2653,0,0
"41",11010,2,"[50,60)",1,421,0,0
"42",11010,2,"[50,60)",2,250,0,0
"43",11010,2,"[50,60)",3,511,0,0
"44",11010,2,"[50,60)",4,1196,0,1
"45",11010,2,"[50,60)",5,1696,0,0
"46",11010,2,"[60,83]",1,1766,0,0
"47",11010,2,"[60,83]",2,802,0,0
"48",11010,2,"[60,83]",3,1981,0,0
"49",11010,2,"[60,83]",4,4947,0,0
"50",11010,2,"[60,83]",5,7010,0,0
"51",11020,1,"[0,30)",1,1649,0,0
"52",11020,1,"[0,30)",2,750,0,0
"53",11020,1,"[0,30)",3,1823,0,0
"54",11020,1,"[0,30)",4,4527,0,0
"55",11020,1,"[0,30)",5,6255,0,0
"56",11020,1,"[30,40)",1,2473,0,0
"57",11020,1,"[30,40)",2,1243,0,0
"58",11020,1,"[30,40)",3,2930,0,0
"59",11020,1,"[30,40)",4,7092,0,0
"60",11020,1,"[30,40)",5,9874,0,0
"61",11020,1,"[40,50)",1,1997,0,0
"62",11020,1,"[40,50)",2,944,0,0
"63",11020,1,"[40,50)",3,2213,0,0
"64",11020,1,"[40,50)",4,5318,0,0
"65",11020,1,"[40,50)",5,7377,0,0
"66",11020,1,"[50,60)",1,1294,0,1
